,5,10,15,20,25,30,35,40,45,50
Relevant-Random,0.9025556, 0.9498388,0.9738274,0.982505,0.9831287,0.9825844,0.9821858,0.9816747,0.9810655,0.9790873
Relevant-Commit,0.8905398,0.956478,0.9809244,0.9906134,0.9918662,0.9918134,0.9918684,0.9909685,0.9897418, 0.988828
